# Exposure 1: duration 900s, RA: 37.050000000000004, Dec: -3.8, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_38558373842542167      1   -8.44881    1.54109   37.04518   -3.82680
_Cos_38558373842541646      2  -12.03188   -2.11834   37.05669   -3.83796
_Cos_38558373842542572      3   -5.46596   -0.83977   37.05261   -3.81744
_Cos_38558373842542723   1597   -3.93415   -7.70161   37.07409   -3.81258
_Cos_38558373842540986      4  -17.24546   -8.78059   37.07762   -3.85417
_Star_2490093051763096192      5   -7.96764   -9.23461   37.07894   -3.82517
_Cos_38558236403592134      6  -12.67738  -17.40718   37.10458   -3.83979
_Sky_2841082372      7   -7.00161  -19.75525   37.11188   -3.82202
_Cos_38558236403571708      8  -15.25501  -24.53916   37.12694   -3.84775
_Cos_38558236403591410     68  -17.09440  -27.44411   37.13605   -3.85346
_Sky_2841123499     10  -13.39546  -31.95830   37.15014   -3.84185
_Cos_38558236403571298     70  -18.05456  -34.05041   37.15673   -3.85637
_Cos_38558236403592937     11   -8.22072  -34.61519   37.15839   -3.82564
_Sky_2841099101     12  -13.32112  -40.05014   37.17544   -3.84151
_Sky_2841080239     13   -6.88585  -43.83029   37.18718   -3.82136
_Cos_38558240698551727   1711   -2.09973  -42.76376   37.18380   -3.80642
_Sky_2841088352     14  -13.87444  -48.24461   37.20104   -3.84312
_Cos_38558236403572870     15   -7.47276  -52.90167   37.21551   -3.82307
_Cos_38558236403592401     16  -10.66621  -53.82319   37.21842   -3.83303
_Cos_38558240698551482     17   -3.74058  -59.85287   37.23715   -3.81133
_Cos_38558236403592075     18  -13.11174  -61.06205   37.24102   -3.84056
_Cos_38558236403592680     19   -9.66841  -70.96677   37.27182   -3.82967
_Cos_38558236403592008     20  -13.62273  -69.16561   37.26625   -3.84203
_Cos_38558098964619122     21   -7.93236  -78.08789   37.29393   -3.82416
_Cos_38558098964637423     22  -11.50527  -83.36661   37.31035   -3.83521
_Cos_38558098964637728     23   -9.52034  -87.10053   37.32191   -3.82897
_Cos_38558098964636594     24  -15.71793  -88.48544   37.32625   -3.84825
