# Exposure 1: duration 900s, RA: 37.1, Dec: -5.2, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Sky_2829214320      1   -7.14710    3.83896   37.08795   -5.22275
_Cos_37493913442868165      3   -6.18631   -6.49075   37.12036   -5.21963
_Sky_2829216382      4  -14.20177   -7.87015   37.12478   -5.24467
_Sky_2829180444      5   -6.62992  -11.80331   37.13704   -5.22095
_Star_2489088755265984768      6  -16.66124  -15.99809   37.15031   -5.25225
_Cos_37493913442868366      7   -5.65503  -21.48626   37.16741   -5.21779
_Cos_37493913442866657      8  -16.85361  -27.23135   37.18555   -5.25271
_Cos_37493913442867726      9   -9.82437  -28.39123   37.18911   -5.23073
_Sky_2829222751     10  -13.98608  -32.48313   37.20198   -5.24368
_Cos_37493913442868942     11   -2.33898  -34.23476   37.20734   -5.20727
_Cos_37493913442867202     12  -12.88771  -41.80756   37.23118   -5.24012
_Cos_37493913442848963     13   -5.67436  -44.05757   37.23815   -5.21756
_Cos_37493913442867215     14  -13.09997  -47.28589   37.24833   -5.24071
_Cos_37493913442868016     15   -7.75401  -53.57928   37.26796   -5.22393
_Star_2489085314996386048     16  -13.35099  -55.89615   37.27525   -5.24137
_Cos_37493776003895188     17   -5.15083  -59.47224   37.28634   -5.21573
_Cos_37493776003911203     18  -14.79336  -63.67517   37.29956   -5.24575
_Cos_37493776003911749     19   -9.83990  -67.46796   37.31134   -5.23025
_Cos_37493776003893742     20  -15.85117  -73.55018   37.33035   -5.24890
_Cos_37493776003893967     22  -14.05884  -76.51054   37.33956   -5.24326
_Cos_37493776003912098     21   -7.50316  -79.67261   37.34933   -5.22278
_Sky_2829224249     23   -6.58048  -84.12548   37.36316   -5.21984
_Sky_2829186215     24  -13.97410  -87.59014   37.37400   -5.24282
_Cos_37493776003912203     25   -6.82528  -91.53983   37.38618   -5.22050
_Cos_37493776003894097     26  -13.03462  -97.08764   37.40344   -5.23974
_Sky_2829204162     27   -7.18182  -99.89999   37.41208   -5.22148
_Cos_37493776003911376     28  -13.92972 -103.80824   37.42424   -5.24241
_Cos_37493776003895336     29   -4.43392 -111.12934   37.44674   -5.21277
_Cos_37493776003894177     30  -12.46367 -114.05842   37.45585   -5.23768
_Cos_37493776003894923     31   -7.14277 -116.44402   37.46315   -5.22111
_Sky_2829201729     32  -14.30046 -120.51194   37.47573   -5.24326
_Cos_37493638564960075     33   -8.12130 -125.52390   37.49106   -5.22400
_Cos_37493638564959322     34  -13.08588 -129.30776   37.50271   -5.23934
_Cos_37493638564960011     35   -7.50885 -132.77817   37.51328   -5.22198
_Cos_37493638564959677     36  -10.39388 -135.56470   37.52183   -5.23088
_Cos_37493638564959108     38  -14.92531 -144.35554   37.54868   -5.24475
_Cos_37493638564959899     39   -9.10084 -149.16753   37.56327   -5.22664
_Star_2488903551980465664     40  -12.49745 -153.05071   37.57508   -5.23707
_Cos_37493638564941751     41   -7.16001 -155.31301   37.58189   -5.22053
_Sky_2829211214     42  -13.76033 -160.20192   37.59673   -5.24083
_Star_2488903689419421184     43   -5.35624 -160.92633   37.59885   -5.21487
_Cos_37493638564940714     44  -14.44747 -167.05093   37.61739   -5.24280
_Cos_37493638564959950     45   -8.53977 -173.77998   37.63756   -5.22446
_Cos_37493638564941328     46  -10.13477 -178.06977   37.65042   -5.22930
_Cos_37493501126006727     48  -13.88651 -185.30335   37.67203   -5.24069
_Sky_2829173913     49   -7.27236 -188.36194   37.68108   -5.22030
_Cos_37493501125989062     51   -3.58880 -195.82769   37.70316   -5.20886
_Cos_37493501126006817     52  -14.07775 -201.59063   37.72025   -5.24091
_Cos_37493501125986883    112  -17.17693 -202.13478   37.72186   -5.25038
_Cos_37493501126007778     53   -7.66938 -202.47575   37.72281   -5.22126
_Cos_37493501126006525     54  -15.53678 -208.74656   37.74126   -5.24520
_Cos_37493501126007894     55   -6.86876 -213.06440   37.75383   -5.21861
_Cos_37493501126006897     56  -13.49744 -216.40433   37.76361   -5.23879
_Cos_37493501126007701     57   -8.22726 -222.21100   37.78043   -5.22258
_Sky_2829189090     58  -20.35867   12.14122   37.06204   -5.26414
_Star_2488713302109211904     59  -26.82445    6.81215   37.07884   -5.28428
_Star_2488712614914445312     63  -25.94841   -8.32496   37.12634   -5.28137
_Sky_2829230432     65  -27.46353  -15.86526   37.15001   -5.28600
_Cos_37493913442846192     66  -22.96841  -21.86690   37.16879   -5.27188
_Cos_37493913442865579     67  -24.36824  -24.97842   37.17856   -5.27621
_Cos_37493913442846015     68  -24.29001  -29.03599   37.19128   -5.27591
_Cos_37493913442864825     69  -28.59671  -31.96238   37.20049   -5.28931
_Cos_37493913442866082     70  -20.81421  -35.09931   37.21025   -5.26497
_Cos_37493913442846162     71  -23.23068  -39.40341   37.22375   -5.27245
_Cos_37493913442866291     72  -19.49617  -45.65785   37.24330   -5.26070
_Sky_2829210967     73  -27.54891  -47.81505   37.25012   -5.28580
_Cos_37493913442866105     74  -20.65179  -53.90461   37.26910   -5.26418
_Cos_37493913442865171     75  -26.95696  -52.95638   37.26619   -5.28387
_Cos_37493776003910668     76  -19.99220  -59.91454   37.28787   -5.26203
_Cos_37493776003891589     77  -31.02229  -64.72459   37.30296   -5.29633
_Cos_37493776003892921     78  -21.81534  -68.45903   37.31454   -5.26757
_Cos_37493776003909630     79  -28.53579  -72.58658   37.32745   -5.28844
_Cos_37493776003893269     80  -19.51325  -75.98197   37.33796   -5.26027
_Cos_37493776003909864     81  -27.10721  -84.36548   37.36408   -5.28377
_Cos_37493776003910592     82  -20.61769  -84.80078   37.36539   -5.26356
_Sky_2829180488     83  -28.48880  -87.94610   37.37520   -5.28799
_Cos_37493776003910361     84  -22.45716  -92.31791   37.38873   -5.26914
_Star_2488897848263891072     85  -29.71090  -97.55514   37.40499   -5.29159
_Star_2488898294940492032     86  -23.25197  -97.41533   37.40453   -5.27152
_Cos_37493776003892205     87  -26.71275 -107.23636   37.43491   -5.28207
_Cos_37493776003910461     88  -21.78896 -108.79785   37.43970   -5.26674
_Cos_37493776003909565     89  -28.83764 -113.99829   37.45576   -5.28852
_Sky_2829225352     90  -20.72538 -115.79244   37.46125   -5.26330
_Cos_37493638564957741     91  -25.05056 -121.15807   37.47777   -5.27661
_Cos_37493638564957812     92  -24.72145 -124.84359   37.48909   -5.27550
_Cos_37493638564938620     93  -28.08329 -130.80842   37.50738   -5.28578
_Sky_2829189239     94  -20.73276 -132.20527   37.51163   -5.26298
_Cos_37493638564957476     95  -27.93262 -134.53755   37.51879   -5.28522
_Cos_37493638564958252     96  -19.70148 -140.12135   37.53581   -5.25961
_Star_2488900081646886400     97  -27.26540 -146.48382   37.55521   -5.28286
_Star_2488903070944126080     98  -21.07965 -149.34770   37.56389   -5.26367
_Cos_37493638564957526     99  -26.95683 -153.24135   37.57572   -5.28173
_Star_2488900498258666368    100  -21.93631 -154.93184   37.58083   -5.26619
_Cos_37493638564938825    101  -26.88787 -161.18115   37.59973   -5.28131
_Cos_37493638564939825    102  -20.59755 -162.55347   37.60387   -5.26187
_Cos_37493638564957177    103  -29.25863 -168.24457   37.62101   -5.28842
_Cos_37493638564958348    104  -20.87431 -171.42579   37.63057   -5.26251
_Cos_37493638564957403    105  -28.27942 -176.12261   37.64465   -5.28518
_Cos_37493638564958157    106  -22.46608 -180.62183   37.65810   -5.26717
_Cos_37493501125984953    107  -30.39100 -182.85521   37.66475   -5.29146
_Cos_37493501125986080    108  -22.78018 -189.61249   37.68486   -5.26789
_Sky_2829204288    109  -28.66129 -192.34096   37.69294   -5.28585
_Cos_37493501126005861    110  -20.56734 -195.43971   37.70212   -5.26095
_Sky_2829184726    111  -28.40797 -199.73965   37.71480   -5.28484
_Cos_37493501125986313    114  -21.23463 -211.76271   37.75009   -5.26254
_Cos_37494046586861532    115  -38.59978   20.05928   37.03743   -5.32116
_Cos_37494046586839214    116  -43.70587   15.02842   37.05327   -5.33704
_Sky_2829223715    120  -41.35080    0.12602   37.09999   -5.32954
_Sky_2829181729    123  -34.55243  -12.37251   37.13912   -5.30818
_Star_2488709213300340352    124  -42.83454  -19.12282   37.16037   -5.33392
_Star_2488712271317057536    125  -36.64658  -20.03985   37.16319   -5.31461
_Sky_2829230083    126  -41.38747  -24.37061   37.17681   -5.32933
_Cos_37493909147886010    127  -33.46162  -29.27309   37.19211   -5.30453
_Star_2489084387283442304    128  -38.27719  -33.30390   37.20478   -5.31949
_Cos_37493909147904457    129  -33.98326  -36.72216   37.21545   -5.30605
_Cos_37493909147884567    130  -43.13262  -39.72684   37.22492   -5.33452
_Cos_37493909147904238    131  -35.37748  -45.85112   37.24403   -5.31024
_Cos_37493909147903282    132  -42.41592  -49.21944   37.25461   -5.33212
_Cos_37493909147904251    133  -35.27671  -52.34665   37.26434   -5.30982
_Sky_2829168769    134  -41.54981  -55.92336   37.27555   -5.32929
_Star_2489084047981668352    135  -34.30789  -59.30930   37.28608   -5.30667
_Cos_37493771708949095    136  -39.68359  -61.00634   37.29141   -5.32338
_Cos_37493771708949822    137  -34.11684  -68.30786   37.31415   -5.30590
_Cos_37493771708948765    138  -41.75798  -72.87622   37.32841   -5.32959
_Cos_37493771708949745    139  -34.97880  -75.18864   37.33558   -5.30845
_Cos_37493771708948206    140  -41.44837  -81.82527   37.35624   -5.32843
_Cos_37493771708949442    141  -37.07499  -85.74250   37.36840   -5.31475
_Cos_37493771708949006    142  -40.20319  -87.11349   37.37266   -5.32444
_Cos_37493771708949693    143  -35.54417  -91.46999   37.38616   -5.30986
_Sky_2829211140    144  -41.71399  -96.41847   37.40150   -5.32891
_Cos_37493771708931319    145  -36.63020  -97.21257   37.40395   -5.31310
_Sky_2829197226    146  -41.33962 -104.25984   37.42575   -5.32755
_Sky_2829200407    147  -34.59840 -108.01433   37.43733   -5.30654
_Cos_37493771708948716    148  -42.15211 -114.35880   37.45688   -5.32980
_Cos_37493771708949751    149  -35.47970 -115.50082   37.46040   -5.30909
_Sky_2829209275    150  -42.13113 -120.22456   37.47492   -5.32957
_Sky_2829206468    151  -34.51499 -123.95096   37.48637   -5.30588
_Cos_37493634269978833    152  -43.69945 -126.60881   37.49451   -5.33424
_Cos_37493634270001533    153  -37.56652 -129.80660   37.50432   -5.31517
_Star_2488893965613449856    154  -42.45863 -136.99864   37.52628   -5.33009
