# Exposure 1: duration 900s, RA: 38.050000000000004, Dec: 1.3, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Sky_2877035683      1   -7.18179    3.81206   38.03808    1.27714
_Cos_41760306321444718      2  -15.49229   -3.64662   38.06149    1.25125
_Sky_2877036587      3   -6.46977   -4.39506   38.06373    1.27946
_Cos_41760306321445153      4  -11.92916   -9.47422   38.07967    1.26245
_Cos_41760306321446081      5   -5.18297  -10.71084   38.08346    1.28356
_Star_2502126832867629568      6  -11.16725  -15.72007   38.09919    1.26491
_Cos_41760306321428143      7   -4.51881  -18.26376   38.10706    1.28572
_Sky_2876994912      8  -13.77732  -24.18886   38.12568    1.25686
_Cos_41760306321428427      9   -2.61072  -29.78873   38.14305    1.29182
_Sky_2877028281     10  -13.47452  -31.90779   38.14978    1.25790
_Cos_41760306321445988     11   -5.53009  -35.46319   38.16080    1.28277
_Cos_41760306321444945     12  -13.47187  -39.59100   38.17376    1.25801
_Sky_2877017861     13   -7.01872  -43.72703   38.18659    1.27822
_Cos_41760306321427124     14  -11.64704  -50.10180   38.20650    1.26385
_Cos_41760306321427321     15  -10.26810  -54.25352   38.21942    1.26820
_Cos_41760306321445000     16  -13.28518  -53.54717   38.21725    1.25878
_Cos_41760306321446056     17   -5.61581  -57.28956   38.22883    1.28276
_Cos_41760168882491502     18  -11.76248  -61.57857   38.24223    1.26364
_Cos_41760168882492431     19   -3.47902  -68.57145   38.26388    1.28957
_Cos_41760168882491112     20  -15.53440  -70.39235   38.26964    1.25200
_Cos_41760168882474145     21   -6.64014  -74.32757   38.28178    1.27978
_Cos_41760168882490941     22  -16.95695  -79.78490   38.29878    1.24770
_Cos_41760168882492088     23   -6.68547  -82.94271   38.30847    1.27975
_Cos_41760168882491373     24  -13.10260  -85.86800   38.31758    1.25980
_Cos_41760168882492124     25   -6.62930  -93.80233   38.34205    1.28007
_Cos_41760168882490964     26  -17.16844  -96.78190   38.35132    1.24731
_Star_2502128065522548224     84  -18.19945  -94.20740   38.34339    1.24406
_Cos_41760168882491800     27   -9.31878  -99.88857   38.36085    1.27178
_Sky_2877008971     28  -14.03337 -104.35909   38.37465    1.25718
_Cos_41760168882491766     29   -9.26611 -108.65355   38.38783    1.27206
_Star_2502128550854517120     30  -12.17370 -112.53883   38.39978    1.26309
_Cos_41760168882473620     32  -10.82163 -119.88762   38.42231    1.26739
_Cos_41760031443538860     34  -13.46745 -123.67125   38.43391    1.25924
_Star_2502118066838684928     36  -14.13935 -134.52039   38.46702    1.25733
_Cos_41760031443519657     38  -15.57652 -143.32157   38.49378    1.25303
_Cos_41760031443519507     40  -16.77754 -152.60652   38.52189    1.24949
_Cos_41760031443540243     41   -3.67880 -156.56423   38.53375    1.29002
_Cos_41760031443520195     42  -12.02329 -161.67408   38.54920    1.26433
_Star_2502117620162376320     43   -7.23727 -164.93068   38.55895    1.27915
_Cos_41760031443538779     44  -14.23160 -170.13138   38.57457    1.25766
_Cos_41760031443539578     45   -8.63357 -168.81966   38.57062    1.27490
_Sky_2877040167     46  -13.87174 -176.43639   38.59341    1.25889
_Sky_2876985834     49   -7.28598 -188.55372   38.62937    1.27934
_Star_2502137583170367616     57   -8.92285 -218.56232   38.71723    1.27480
_Cos_41760443760399460     58  -19.02579    9.51204   38.02039    1.24005
_Star_2502124973149337344     59  -28.65042    8.96200   38.02223    1.21000
_Cos_41760306321443124     61  -27.99753   -1.55305   38.05509    1.21215
_Cos_41760306321425928     62  -19.59659   -0.96320   38.05315    1.23839
_Cos_41760302026465558     63  -28.71415   -7.61561   38.07404    1.20999
_Cos_41760306321443720     64  -23.60339  -13.78509   38.09327    1.22603
_Cos_41760302026483677     65  -30.60011  -17.86012   38.10607    1.20423
_Cos_41760306321425519     66  -22.37727  -19.92392   38.11244    1.22994
_Sky_2877001307     67  -27.72829  -23.81877   38.12466    1.21328
_Cos_41760306321444213     68  -19.63235  -28.11459   38.13800    1.23862
_Cos_41760306321443532     69  -25.37926  -32.51010   38.15177    1.22073
_Cos_41760306321443899     70  -22.47682  -34.01472   38.15644    1.22981
_Cos_41760306321442992     71  -28.64069  -38.36965   38.17008    1.21064
_Sky_2877030773     72  -20.52478  -44.17097   38.18810    1.23605
_Sky_2876997183     73  -27.32194  -48.00151   38.20009    1.21490
_Cos_41760306321444053     74  -21.48891  -50.64203   38.20827    1.23313
_Star_2502122950217050880     75  -27.95453  -57.95476   38.23108    1.21308
_Cos_41760168882489730     77  -26.94798  -60.40417   38.23869    1.21626
_Sky_2877008548     76  -20.64494  -60.20643   38.23803    1.23591
_Cos_41760164587530471    135  -31.75938  -61.55902   38.24231    1.20128
_Cos_41760168882490815     80  -18.42756  -73.68204   38.27987    1.24303
_Cos_41760168882489669     81  -27.74929  -78.40972   38.29458    1.21407
_Cos_41760168882490779     82  -18.84006  -83.33468   38.30978    1.24189
_Sky_2877027499     83  -27.73583  -87.94959   38.32410    1.21428
_Star_2502127962443328896     85  -25.64126  -95.73240   38.34813    1.22094
_Cos_41760164587512409    143  -31.52892  -93.11927   38.34008    1.20258
_Cos_41760168882490435     86  -21.93758  -98.44584   38.35648    1.23251
_Cos_41760164587530661     87  -30.10247 -105.43212   38.37802    1.20726
