# Exposure 1: duration 900s, RA: 37.45, Dec: -0.3, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_40686628921959602      2  -14.68237    0.68580   37.44794   -0.34627
_Cos_40686628921960517      3  -10.10016   -4.55355   37.46426   -0.33189
_Cos_40686628921959461      4  -14.85196   -7.53925   37.47365   -0.34671
_Cos_40686628921939776      5   -9.58781  -13.89333   37.49345   -0.33018
_Star_2500352010649997312      6  -16.37405  -16.82239   37.50267   -0.35135
_Cos_40686491483005448      7   -9.69672  -20.66180   37.51460   -0.33043
_Cos_40686491483005060      8  -11.57382  -23.83416   37.52453   -0.33626
_Cos_40686491482985391     66  -17.44050  -23.17115   37.52252   -0.35460
_Cos_40686491482985735     10  -14.65160  -28.82067   37.54013   -0.34582
_Star_2500353762996695808     11   -8.37478  -39.63963   37.57383   -0.32607
_Cos_40686491483004067     12  -17.55318  -40.34672   37.57612   -0.35472
_Cos_40686491483005676     13   -8.82843  -44.00964   37.58746   -0.32743
_Cos_40686491483004982     14  -12.81589  -51.05311   37.60944   -0.33979
_Cos_40686491483005524     15   -9.67939  -51.26626   37.61008   -0.32999
_Cos_40686491483005126     16  -11.80369  -54.22756   37.61932   -0.33658
_Cos_40686491483004654     18  -13.30989  -65.63661   37.65481   -0.34113
_Cos_40686491483005423     21  -10.02214  -75.87743   37.68656   -0.33073
_Cos_40686354044051402     22  -14.05879  -79.05863   37.69645   -0.34327
_Cos_40686354044052167     23   -9.03754  -86.45100   37.71929   -0.32752
_Sky_3284149499     24  -14.21796  -87.84756   37.72365   -0.34363
_Cos_40686354044052148     25   -8.99796  -89.49489   37.72870   -0.32735
_Cos_40686354044052379     27   -8.33134  -96.27822   37.74964   -0.32518
_Sky_3284130222     26  -13.85927  -95.91977   37.74858   -0.34239
_Sky_3284105746     28  -13.47239 -104.28174   37.77434   -0.34106
_Cos_40691851602191252     29   -9.96006 -105.42470   37.77783   -0.33012
_Star_2500185572074199168     30  -16.06089 -112.78234   37.80048   -0.34896
_Cos_40691851602191133     31   -9.09081 -113.34895   37.80217   -0.32730
_Cos_40691851602190660     32  -12.68944 -122.78205   37.83109   -0.33833
_Sky_3284190493     33   -7.00489 -124.47407   37.83623   -0.32067
_Cos_40691851602170964     34  -14.72273 -131.16905   37.85672   -0.34450
_Cos_40691851602189743     92  -18.47773 -126.65268   37.84296   -0.35622
_Sky_3284159400     35   -6.64064 -132.41169   37.86045   -0.31942
