# Exposure 1: duration 900s, RA: 38.75, Dec: 0.1, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_41759863939819002      1   -5.00953    5.93995   38.73140    0.08390
_Sky_2876985912      2  -13.48564    0.38170   38.74888    0.05747
_Cos_41759863939818999      3   -6.25289   -7.32529   38.77288    0.08017
_Cos_41759863939817502      4  -15.53411  -11.87592   38.78721    0.05122
_Cos_41759863939800041      5   -5.64195  -11.53810   38.78605    0.08213
_Cos_41759726500862538      6  -11.44063  -16.15759   38.80055    0.06406
_Cos_41759726500863250      7   -5.73632  -21.29212   38.81653    0.08195
_Sky_2877014814      8  -13.97830  -24.20522   38.82571    0.05623
_Cos_41759726500844768     66  -17.46655  -22.06933   38.81908    0.04531
_Cos_41759726500845893      9   -8.63357  -27.23236   38.83511    0.07297
_Cos_41759726500862241     10  -13.90549  -31.61468   38.84885    0.05656
_Cos_41759726500863170     11   -6.74549  -39.44065   38.87319    0.07902
_Cos_41759726500861600     12  -17.37237  -40.96991   38.87806    0.04585
_Star_2500261713254420864     13   -8.88487  -42.36713   38.88234    0.07238
_Cos_41759726500862217     14  -13.90822  -46.60971   38.89561    0.05675
_Cos_41759726500863187     15   -6.87586  -53.24508   38.91621    0.07879
_Cos_41759726500862480     16  -12.11942  -56.26502   38.92566    0.06246
_Cos_41759726500846415     17   -4.65755  -59.45337   38.93550    0.08579
_Cos_41759726500847876     18  -13.44036  -63.76034   38.94898    0.05845
_Cos_41759726500845806     19   -9.53995  -68.39033   38.96332    0.07068
_Star_2500264225810494720     20  -12.20947  -69.98160   38.96829    0.06237
_Sky_2877008095     21   -7.15072  -76.24856   38.98768    0.07823
_Cos_41759589061907907     22  -14.55932  -78.79956   38.99565    0.05518
_Sky_2876997420     23   -7.10775  -83.80644   39.01109    0.07846
_Cos_41759589061891479     24  -13.71109  -87.63560   39.02299    0.05795
_Sky_2876996334     25   -6.69509  -92.64961   39.03842    0.07987
_Star_2500263298097554688     26  -16.90910  -95.89106   39.04850    0.04813
_Cos_41759589061892151     27   -7.88486 -102.10225   39.06758    0.07629
_Cos_41759589061908230     28  -13.33505 -104.56170   39.07519    0.05938
_Sky_2877024321     29   -6.83356 -108.52703   39.08734    0.07965
_Cos_41759589061909191     31   -4.91252 -111.87169   39.09759    0.08567
_Cos_41759589061907971     30  -14.91791 -113.45975   39.10254    0.05460
_Sky_2877027074     32  -13.91519 -120.03131   39.12268    0.05783
_Cos_41759589061908733     33   -9.86650 -122.74262   39.13095    0.07043
_Star_2500253260758778240     34  -12.63362 -130.30505   39.15406    0.06197
_Cos_41759589061892324     35   -6.40172 -131.69421   39.15825    0.08131
_Cos_41759589061891207     36  -16.38893 -133.15118   39.16276    0.05038
_Cos_41759451622953760     37   -8.55169 -141.72613   39.18879    0.07480
_Cos_41759451622937678     38  -14.95555 -142.62202   39.19154    0.05499
_Cos_41759451622953896     39   -6.42344 -148.79727   39.21020    0.08148
_Cos_41759451622953108     40  -14.81540 -151.13058   39.21731    0.05557
_Cos_41759451622953907     41   -6.49702 -156.18589   39.23252    0.08136
_Star_2500252607923744896     42  -16.23072 -158.81357   39.24049    0.05134
_Star_2500253054600356480     43   -4.34926 -163.26631   39.25380    0.08809
_Cos_41764949181090937     44  -15.20732 -169.54230   39.27269    0.05471
