# Exposure 1: duration 900s, RA: 37.1, Dec: -3.8, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Star_2490093051763096192      1   -7.90842    6.72489   37.07894   -3.82517
_Cos_38558236403591600      2  -15.58589   -1.46763   37.10469   -3.84907
_Sky_2841082372      3   -6.94065   -3.79251   37.11188   -3.82202
_Cos_38558236403572004      4  -13.14308   -7.80017   37.12450   -3.84136
_Cos_38558236403572932      5   -6.86579  -12.32012   37.13859   -3.82169
_Cos_38558236403591868      6  -14.35535  -16.06667   37.15041   -3.84505
_Cos_38558236403573174      7   -5.16507  -18.95384   37.15935   -3.81629
_Sky_2841099101      8  -13.25361  -24.06585   37.17544   -3.84151
_Sky_2841080239      9   -6.82095  -27.84070   37.18718   -3.82136
_Sky_2841088352     10  -13.80443  -32.24646   37.20104   -3.84312
_Cos_38558236403592758     11   -8.84851  -36.47335   37.21421   -3.82758
_Cos_38558236403592357     12  -11.39222  -40.25933   37.22607   -3.83548
_Cos_38558236403592802     13   -8.87997  -40.74504   37.22756   -3.82762
_Cos_38558236403571798     14  -14.78266  -47.18278   37.24774   -3.84597
_Cos_38558236403593026     15   -7.16365  -55.34476   37.27313   -3.82207
_Cos_38558236403571986     16  -13.52598  -54.92357   37.27188   -3.84194
_Cos_38558098964638031     17   -7.31141  -59.44554   37.28592   -3.82248
_Cos_38558098964618212     18  -14.23897  -63.10012   37.29738   -3.84404
_Cos_38558098964619084     19   -8.15745  -65.96156   37.30623   -3.82503
_Cos_38558098964637109     20  -13.43681  -72.95076   37.32802   -3.84139
_Cos_38558098964619302     21   -6.66329  -75.35027   37.33541   -3.82024
_Cos_38558098964637027     22  -13.92289  -78.48853   37.34523   -3.84282
_Cos_38558098964638039     23   -7.42003  -83.91648   37.36201   -3.82248
_Cos_38558098964637388     24  -11.89727  -87.37652   37.37278   -3.83637
_Cos_38558098964638042     25   -7.09278  -93.09481   37.39044   -3.82133
_Sky_2841072096     26  -13.82800  -95.67094   37.39847   -3.84225
_Cos_38558098964638090     27   -7.12478 -100.80215   37.41427   -3.82131
_Cos_38558098964637099     28  -13.55051 -104.53539   37.42585   -3.84124
_Cos_38558098964619360     29   -6.39437 -107.98498   37.43641   -3.81894
_Cos_38558098964636931     30  -14.36654 -110.68327   37.44479   -3.84367
_Star_2490084599267690752     31   -7.02925 -117.60527   37.46601   -3.82077
_Cos_38557961525683320     32  -15.21982 -119.92751   37.47321   -3.84616
_Cos_38557961525684855     33   -6.72571 -124.54263   37.48729   -3.81972
