# Exposure 1: duration 900s, RA: 132.49999999999997, Dec: 1.4, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_42036696056882175      1   -7.59807    2.89350  132.49095    1.37587
_Cos_42036696056881153      2  -13.60987   -0.16943  132.50060    1.35711
_Cos_42036558617932258      3   -5.21447   -3.16012  132.50985    1.38340
_Cos_42036558617930761      4  -12.65362   -9.70561  132.53042    1.36022
_Cos_42036558617932392      5   -4.14044  -10.93577  132.53416    1.38685
_Cos_42036558617932699   1597   -2.88735   -9.35268  132.52919    1.39075
_Cos_42036558617930481      6  -14.34219  -15.58839  132.54883    1.35502
_Cos_42036558617931986      7   -5.93155  -20.29062  132.56343    1.38136
_Cos_42036558617930373      8  -15.38845  -23.03590  132.57212    1.35184
_Cos_42036558617929861     66  -17.54770  -22.48525  132.57042    1.34509
_Cos_42042056176067476      9   -5.68435  -32.29506  132.60094    1.38228
_Sky_3296579258     10  -13.54510  -32.61025  132.60201    1.35773
_Cos_42042056176067414     11   -5.73025  -35.41259  132.61067    1.38218
_Cos_42042056176066748     12  -10.82986  -37.56642  132.61745    1.36627
_Cos_42042056176067389     13   -5.87096  -44.45912  132.63890    1.38185
_Cos_42042056176066386     14  -13.19611  -48.81612  132.65256    1.35903
_Cos_42042056176049009     15   -9.84759  -52.92458  132.66533    1.36954
_Cos_42041918737112163     16  -11.08805  -58.32620  132.68216    1.36574
_Cos_42041918737094798     17   -7.56331  -59.23144  132.68494    1.37676
_Cos_42041918737111447     76  -16.14339  -60.92539  132.69030    1.35001
_Cos_42041918737111223     18  -17.73189  -64.67620  132.70198    1.34511
_Cos_42041918737112588     19   -8.23595  -72.25978  132.72544    1.37483
_Cos_42041918737111745     20  -14.48744  -73.38199  132.72899    1.35535
_Cos_42041918737112986     21   -5.86741  -77.77950  132.74254    1.38229
_Sky_3296566705     31   -6.89411 -116.52094  132.86207    1.37961
_Cos_42041781298161125     32  -13.54113 -120.83500  132.87535    1.35903
_Cos_42041781298141279     33   -9.83433 -124.57964  132.88678    1.37059
