# Exposure 1: duration 900s, RA: 132.49999999999997, Dec: 1.4, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_42036696056882005      1   -8.53664    4.97487  132.48445    1.37291
_Cos_42036558617909693      2  -14.81923   -2.11906  132.50672    1.35336
_Cos_42036558617932616      3   -3.31195   -4.45696  132.51389    1.38936
_Cos_42036558617930979      4  -12.00731   -7.31554  132.52293    1.36221
_Cos_42036558617910554      5   -8.30647  -15.44245  132.54830    1.37388
_Cos_42036558617930325      6  -15.40905  -18.61725  132.55831    1.35172
_Cos_42036558617932102      7   -5.61832  -21.51929  132.56727    1.38236
_Cos_42036558617931862      9   -7.53132  -23.52585  132.57356    1.37640
_Cos_42036558617930930      8  -12.36293  -21.55209  132.56745    1.36128
_Sky_3296579258     10  -13.54510  -32.61025  132.60201    1.35773
_Cos_42042056176066831     11  -10.26262  -36.11054  132.61290    1.36803
_Cos_42042056176066979     12   -9.70469  -41.82733  132.63074    1.36984
_Cos_42042056176049049     13   -9.60006  -44.34530  132.63859    1.37020
_Cos_42042056176066127     14  -14.57971  -49.12096  132.65353    1.35472
_Cos_42042056176067671     15   -4.67029  -50.08592  132.65643    1.38567
_Cos_42041918737094097     16  -14.05729  -59.31259  132.68526    1.35649
_Cos_42041918737112779     17   -7.02935  -61.82975  132.69302    1.37846
_Cos_42041918737094203     18  -13.17132  -63.41097  132.69800    1.35931
_Cos_42041918737093782     20  -16.90297  -71.98029  132.72466    1.34780
_Cos_42041918737112914     21   -6.36579  -78.48441  132.74473    1.38074
_Sky_3296566705     31   -6.89411 -116.52094  132.86207    1.37961
_Cos_42041781298160567     32  -16.36845 -122.08559  132.87919    1.35028
_Cos_42041781298161568     33  -10.12977 -125.37578  132.88922    1.36969
_Cos_42041781298160808     34  -15.70773 -129.07150  132.90054    1.35245
_Cos_42041781298161751     36  -10.53081 -138.28744  132.92859    1.36864
_Cos_42041781298160391     94  -17.86482 -133.34575  132.91359    1.34584
_Star_3075649037266609408     37   -5.77513 -139.61411  132.93259    1.38339
_Cos_42041781298161683     38  -10.82390 -146.84671  132.95458    1.36787
_Cos_42041781298162885     39   -3.82804 -144.82474  132.94839    1.38949
