# Exposure 1: duration 900s, RA: 132.59999999999997, Dec: -0.2, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Sky_3286529109      1   -6.93659    3.80436  132.58810   -0.22207
_Cos_40973330873862551      2  -14.90952   -0.74554  132.60242   -0.24694
_Cos_40973330873863688      3   -7.83944   -6.41229  132.62005   -0.22477
_Cos_40973330873845020      4  -15.88537   -8.29337  132.62603   -0.24990
_Cos_40973330873845967      5   -8.31814  -14.15598  132.64427   -0.22617
_Cos_40973330873863099      6  -12.04911  -16.50031  132.65164   -0.23781
_Cos_40973330873846112      7   -7.05405  -22.50252  132.67034   -0.22212
_Cos_40973330873863290      8  -10.75182  -21.71286  132.66791   -0.23369
_Cos_40973193434910724      9   -5.23684  -27.94434  132.68732   -0.21637
_Cos_40973193434909946     10  -10.54237  -31.62139  132.69886   -0.23290
_Cos_40973193434892931     11   -5.90540  -38.58274  132.72054   -0.21833
_Cos_40973193434909121     12  -16.06000  -38.50222  132.72040   -0.25005
_Cos_40973193434910523     13   -6.80749  -46.63802  132.74567   -0.22104
_Cos_40973193434909733     14  -12.39352  -48.39275  132.75120   -0.23846
_Sky_3286573246     15   -7.26917  -51.84479  132.76190   -0.22242
_Cos_40973193434909062     16  -16.28209  -57.67415  132.78014   -0.25047
_Sky_3286572877     17   -6.49489  -59.75347  132.78650   -0.21990
_Star_3074573126483489152     18  -11.95859  -65.62382  132.80481   -0.23686
_Cos_40973193434911161     19   -2.49965  -69.23729  132.81593   -0.20731
_Cos_40973193434909361     20  -15.02375  -70.41952  132.81974   -0.24635
_Cos_40973193434910381     21   -7.41484  -78.41968  132.84448   -0.22252
_Sky_3286582278     22  -13.79493  -80.25875  132.85024   -0.24237
_Cos_40973193434893255     23   -3.46246  -84.55300  132.86343   -0.21012
_Cos_40973055995956061     24  -15.53168  -87.25687  132.87191   -0.24768
_Cos_40973055995957914     25   -7.42302  -94.77567  132.89507   -0.22232
_Star_3074578314803992832     29   -8.47443 -109.52347  132.94051   -0.22538
_Sky_3286581304     37   -6.71978 -140.36807  133.03477   -0.21948
_Cos_40973055995957470     38  -10.39287 -141.28770  133.03759   -0.23084
_Cos_40972918557003964     40  -15.59930 -148.61647  133.05984   -0.24682
_Cos_40972918557004836     41  -11.05234 -156.99022  133.08511   -0.23262
_Cos_40972918557004057     42  -15.79821 -160.56396  133.09590   -0.24721
_Cos_40972918556985727     43   -9.73930 -160.51777  133.09572   -0.22851
_Cos_40972918557004032     44  -15.78286 -167.40817  133.11645   -0.24703
_Cos_40972918557005119     45   -9.88798 -172.58014  133.13190   -0.22876
_Cos_40972918557004556     46  -12.93033 -179.99721  133.15403   -0.23800
_Sky_3286574533     48  -14.48763 -184.60407  133.16772   -0.24270
_Cos_40972918556985801     49   -9.16114 -185.11093  133.16920   -0.22632
_Sky_3286568579     52  -14.62273 -200.70220  133.21522   -0.24278
_Cos_40972918557004483     54  -13.43607 -205.01586  133.22785   -0.23906
_Cos_40972781118053112     55   -8.85598 -215.22479  133.25757   -0.22486
_Cos_40972781118052070     56  -15.67804 -218.23348  133.26631   -0.24563
_Cos_40972781118053662     57   -5.93191 -222.20240  133.27774   -0.21582
_Cos_40967833315722131     58  -22.24066    8.11442  132.57481   -0.26995
_Cos_40967829020744792     59  -25.69845    7.91140  132.57549   -0.28075
_Sky_3286519044     60  -20.50651    4.56210  132.58590   -0.26449
_Cos_40967829020763083     61  -25.32417    3.36072  132.58971   -0.27953
_Cos_40973330873844644     62  -18.87496   -6.18886  132.61949   -0.25927
_Cos_40973326578884042     63  -25.93643   -9.91593  132.63122   -0.28128
_Sky_3286556193     64  -20.40849  -12.24979  132.63845   -0.26398
_Cos_40973330873861427     66  -22.03063  -16.01014  132.65022   -0.26900
