# Exposure 1: duration 900s, RA: 38.050000000000004, Dec: 1.3, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_41760302026482810    121  -37.19194   -5.10327   38.06628    1.18350
_Cos_41760302026482155    122  -41.22323   -8.26041   38.07619    1.17096
_Cos_41760302026465009    123  -32.73838  -14.58199   38.09585    1.19752
_Sky_3294183288    124  -41.67612  -15.79278   38.09972    1.16965
_Sky_3294179544    125  -34.62650  -20.23193   38.11352    1.19170
_Star_2502122675339045888    127  -33.78552  -30.49083   38.14554    1.19447
_Cos_41760302026482905    129  -36.74274  -32.99459   38.15337    1.18528
_Cos_41760302026482374    131  -37.97174  -41.77286   38.18075    1.18159
_Cos_41760302026464342    132  -37.65002  -49.80320   38.20577    1.18272
_Sky_3294207261    133  -34.48166  -52.14884   38.21305    1.19264
_Cos_41760164587529475    136  -40.28404  -63.63500   38.24879    1.17477
_Sky_3294161698    137  -34.69669  -68.22512   38.26303    1.19225
_Cos_41760164587528953    138  -44.54984  -70.08711   38.26883    1.16162
_Cos_41760164587530031    139  -36.56868  -80.46629   38.30098    1.18666
_Cos_41760164587510453    140  -44.68668  -80.98886   38.30260    1.16143
_Cos_41760164587530264    141  -33.81815  -84.32055   38.31290    1.19529
_Cos_41760164587529518    142  -40.24073  -91.16003   38.33404    1.17547
_Cos_41760164587510426    144  -44.92938  -97.22322   38.35274    1.16105
_Sky_3294197943    145  -34.47060 -100.14799   38.36176    1.19359
_Sky_3294161749    146  -41.97225 -103.83011   38.37309    1.17038
_Cos_41760164587530164    147  -34.86764 -106.42434   38.38107    1.19249
_Cos_41760164587529216    148  -42.83783 -112.12069   38.39855    1.16790
_Cos_41760164587530332    149  -33.36101 -117.05166   38.41369    1.19740
_Star_2502115077541435008    150  -39.83732 -121.41033   38.42702    1.17744
_Cos_41760027148576595    152  -45.03647 -127.06232   38.44426    1.16149
_Sky_3294173646    153  -35.06908 -132.11447   38.45971    1.19247
_Sky_3294157488    154  -42.15329 -136.32453   38.47248    1.17067
_Cos_41760027148577706    156  -38.10677 -143.51050   38.49432    1.18337
_Cos_41760027148578097    157  -35.32411 -146.39031   38.50306    1.19204
_Sky_3294169395    158  -41.93589 -152.57324   38.52171    1.17182
_Star_2502113600072968064    160  -41.91242 -156.20953   38.53267    1.17200
_Cos_41760027148578406    159  -32.79424 -156.37474   38.53324    1.20012
_Sky_3294177746    161  -34.75893 -164.64047   38.55808    1.19429
_Cos_41760027148577144    162  -41.34582 -166.82151   38.56455    1.17408
_Sky_3294191695    163  -35.02173 -171.75463   38.57937    1.19368
_Cos_41760027148556836    164  -42.79619 -173.15270   38.58346    1.16983
_Sky_3294179802    167  -34.62144 -188.30300   38.62857    1.19542
_Sky_3294184273    172  -48.52686   28.01938   37.96299    1.14783
_Cos_41760439465415240    175  -54.12064   14.05400   38.00665    1.13053
_Cos_41760439465416016    176  -48.45495    8.72201   38.02322    1.14822
_Cos_41760439465433670    177  -56.35757    7.05507   38.02853    1.12363
_Cos_41760439465414564    237  -59.32332    6.02755   38.03177    1.11442
_Cos_41760439465415405    178  -53.11376    4.15623   38.03754    1.13376
_Cos_41760302026480302    179  -54.68793   -3.86659   38.06261    1.12895
_Cos_41760302026463127    180  -46.44306   -5.59985   38.06793    1.15466
_Sky_3294196298    181  -56.09432   -8.03506   38.07563    1.12463
