# Exposure 1: duration 900s, RA: 132.54999999999998, Dec: 1.4, PA: 0.0
# Target    Fiber          X          Y         RA        DEC
_Cos_42036558617931647      1   -8.68266    1.66761  132.54480    1.37250
_Cos_42036558617930481      2  -14.27928    0.40063  132.54883    1.35502
_Cos_42036558617931988      3   -6.33732   -4.57721  132.56430    1.37990
_Cos_42036558617930374      4  -15.23670   -7.33105  132.57302    1.35212
_Cos_42036558617931859      5   -7.43754  -13.44548  132.59205    1.37657
_Sky_2879724081      6  -13.63639  -16.03225  132.60021    1.35723
_Cos_42042056176067413      7   -5.83275  -19.44394  132.61078    1.38166
_Cos_42042056176066981      8   -9.38496  -25.68642  132.63033    1.37064
_Cos_42042056176067389      9   -5.80705  -28.44186  132.63890    1.38185
_Cos_42042056176066126     10  -14.08291  -32.58506  132.65194    1.35605
_Cos_42042056176049459     11   -6.30160  -36.44119  132.66389    1.38041
_Cos_42042056176065545     12  -13.94420  -39.72689  132.67423    1.35657
_Cos_42041918737112777     13   -6.54285  -45.82604  132.69317    1.37977
_Cos_42041918737094203     14  -13.09975  -47.35224  132.69800    1.35931
_Cos_42041918737112803     15   -6.84646  -52.54192  132.71411    1.37891
_Cos_42041918737111579     16  -15.07287  -55.22665  132.72255    1.35326
_Cos_42041918737112986     17   -5.80108  -61.68068  132.74254    1.38229
_Cos_42041918737112900     19   -3.34091  -64.69523  132.75189    1.39000
_Sky_2879694873     20  -13.65438  -72.31509  132.77567    1.35794
_Cos_42041918737112881     27   -6.61781  -98.47304  132.85655    1.38022
_Cos_42041781298160567     28  -16.27987 -105.79522  132.87919    1.35028
_Cos_42041781298141279     29   -9.75702 -108.27718  132.88678    1.37059
_Sky_2879691546     30  -14.30713 -112.20734  132.89889    1.35651
_Cos_42041781298162307     31   -6.75629 -114.48213  132.90582    1.38001
_Cos_42041781298141008     32  -12.04818 -122.35655  132.93000    1.36369
_Cos_42041781298162555     33   -5.91467 -125.52492  132.93964    1.38277
_Sky_2879696096     34  -13.81998 -128.42962  132.94857    1.35829
_Cos_42041781298162474     35   -6.76829 -131.90869  132.95914    1.38021
_Sky_2879689395     36  -14.01223 -136.47170  132.97309    1.35783
_Cos_42041781298161319     38  -12.95550 -145.86461  133.00162    1.36126
_Cos_42041781298162924     39   -4.58891 -148.37424  133.00916    1.38718
_Cos_42041781298140395     40  -17.49080 -150.90456  133.01690    1.34733
_Sky_2879693307     41   -6.61134 -156.31809  133.03318    1.38104
_Cos_42041781298161105     42  -14.11361 -160.27586  133.04515    1.35793
_Cos_42041643859207891     43   -6.71654 -163.25842  133.05408    1.38081
_Cos_42041643859206541     44  -16.40714 -168.18917  133.06893    1.35100
_Cos_42041643859187658     45   -6.94578 -172.06626  133.08049    1.38023
_Cos_42041643859206963     46  -13.28919 -174.62873  133.08818    1.36073
_Cos_42041643859186548    104  -17.68467 -173.22956  133.08401    1.34717
_Cos_42041643859206906     48  -13.39589 -182.48413  133.11158    1.36055
_Sky_2879708455     49   -7.49323 -188.56395  133.12958    1.37879
_Sky_2879731026     51   -6.97360 -195.61340  133.15039    1.38049
_Cos_42041643859206982     52  -13.06938 -203.97724  133.17498    1.36196
_Cos_42041643859207557     53   -9.67926 -202.20679  133.16978    1.37231
_Star_3075603231440470528     54  -16.30154 -206.93873  133.18364    1.35212
_Cos_42041643859207811     55   -7.84414 -212.99170  133.20126    1.37810
_Star_3075603098296353024     56  -15.74567 -218.52674  133.21734    1.35408
_Sky_2879738082     57   -7.01536 -220.38367  133.22269    1.38075
_Cos_42036558617929489     58  -18.85246   12.85762  132.50993    1.34058
_Sky_2879657389     59  -27.45760    8.25788  132.52443    1.31375
_Cos_42036558617929428     60  -19.42696    2.87879  132.54114    1.33890
_Star_3075634949773962368     61  -28.83129    1.64250  132.54513    1.30954
_Cos_42036558617928878     62  -22.36841   -3.95580  132.56255    1.32979
_Cos_42036558617928127     63  -26.31283   -9.76470  132.58076    1.31754
_Cos_42036558617929050     64  -21.62695  -13.52407  132.59246    1.33223
_Star_3075635636968721408     65  -30.06539  -14.70684  132.59625    1.30589
_Cos_42042056176047582     66  -20.64667  -19.26966  132.61041    1.33536
_Cos_42042056176064030     67  -27.84776  -23.29912  132.62307    1.31293
_Cos_42042056176047689     68  -19.83870  -27.17043  132.63509    1.33799
_Cos_42042056176063747     69  -29.36806  -32.76752  132.65266    1.30832
_Cos_42042056176065455     70  -18.76433  -37.64435  132.66778    1.34149
_Sky_2879708054     71  -27.70167  -40.32347  132.67622    1.31363
_Cos_42041918737110810     72  -18.67765  -45.23946  132.69147    1.34187
_Cos_42041918737109618     73  -26.94341  -48.70020  132.70233    1.31613
_Sky_2879719813     74  -20.73341  -51.61490  132.71136    1.33555
_Cos_42041918737109546     75  -27.07907  -55.96648  132.72496    1.31582
_Cos_42041918737093579     76  -18.49051  -59.47251  132.73580    1.34266
_Cos_42041781298158335     87  -29.03887 -105.31665  132.87778    1.31062
_Cos_42041781298159968     88  -19.92148 -109.55109  132.89077    1.33903
_Cos_42041781298139240     89  -26.96732 -113.19418  132.90198    1.31722
_Cos_42041781298160391     90  -17.77020 -116.98985  132.91359    1.34584
_Star_3075645184681271936     91  -27.15656 -121.46847  132.92735    1.31680
_Cos_42041781298139617     92  -23.90317 -123.01472  132.93207    1.32692
_Cos_42041781298138788     93  -30.78361 -127.60262  132.94610    1.30569
_Cos_42041781298159394     94  -22.03958 -134.46862  132.96703    1.33293
_Sky_2879728579     95  -28.13244 -136.19750  132.97230    1.31410
_Star_3075644604860607872     96  -23.14898 -140.01343  132.98390    1.32961
_Cos_42041781298139009     97  -29.03692 -145.09827  132.99933    1.31151
_Sky_2879743190     98  -21.14918 -148.24329  133.00885    1.33596
_Cos_42041781298158447     99  -28.54418 -151.34526  133.01824    1.31318
_Cos_42041781298159699    100  -21.78867 -158.04580  133.03846    1.33419
_Cos_42041781298158850    101  -26.41501 -159.76808  133.04364    1.31996
_Star_3075597871321272704    102  -21.29150 -166.63654  133.06428    1.33592
_Cos_42041643859185463    103  -28.07960 -167.56564  133.06706    1.31502
_Cos_42041643859185650    105  -26.45913 -176.89795  133.09495    1.32025
_Star_3075603613692449664    106  -19.75031 -182.91881  133.11288    1.34102
_Cos_42041643859205122    107  -26.69244 -185.87288  133.12163    1.31976
_Sky_2879706302    108  -20.89163 -187.80705  133.12737    1.33762
_Cos_42041643859204878    109  -28.76411 -193.87506  133.14527    1.31363
_Sky_2879702205    110  -20.44486 -196.66238  133.15351    1.33920
_Cos_42041643859205311    111  -25.67384 -199.37758  133.16147    1.32325
_Star_3075603128361239040    112  -23.14009 -204.45988  133.17638    1.33114
_Cos_42041643859204762    113  -29.71013 -208.45776  133.18801    1.31117
_Cos_42041643859205543    114  -23.46042 -209.77654  133.19190    1.33030
_Cos_42036696056877431    115  -34.60834   18.64728  132.49205    1.29131
_Cos_42036558617925213    116  -42.48742   12.85228  132.51027    1.26679
_Sky_2879685795    117  -34.75062   11.85929  132.51327    1.29094
_Cos_42036558617924873    118  -43.30103    5.09841  132.53451    1.26434
_Cos_42036558617907048    119  -33.92019    3.32786  132.53992    1.29363
_Cos_42036558617924958    120  -42.59028    0.77988  132.54799    1.26661
_Cos_42036558617906847    121  -35.22633   -3.71828  132.56196    1.28964
_Cos_42036558617924971    122  -43.30976   -7.52471  132.57395    1.26447
_Sky_2879650378    123  -33.84694  -12.32902  132.58886    1.29405
_Cos_42042056176061883    124  -42.75163  -13.67074  132.59315    1.26629
_Cos_42042056176062891    125  -35.81556  -19.17592  132.61027    1.28800
_Cos_42042056176062296    126  -39.61258  -25.44444  132.62989    1.27625
_Cos_42042056176063091    127  -34.70994  -27.64008  132.63670    1.29157
_Cos_42042056176044923    128  -40.46518  -30.90388  132.64694    1.27367
_Star_3075623675484291072    129  -37.37956  -35.13329  132.66011    1.28336
_Star_3075623297527164800    130  -43.03285  -38.92842  132.67199    1.26580
_Cos_42041918737108311    131  -35.71000  -45.64234  132.69287    1.28874
_Cos_42041918737107174    132  -42.81972  -47.41724  132.69844    1.26661
_Cos_42041918737108430    133  -34.82536  -51.97408  132.71258    1.29160
_Cos_42041918737091691    135  -35.47841  -56.37263  132.72628    1.28964
_Sky_2879737916    134  -42.01088  -56.19556  132.72576    1.26929
_Cos_42041918737107456    136  -41.61182  -64.29627  132.75094    1.27069
_Cos_42041918737090835    138  -42.93541  -71.33205  132.77279    1.26671
_Cos_42041918737090778    140  -43.63570  -80.74971  132.80198    1.26474
_Sky_2879742305    141  -34.69478  -84.11911  132.81238    1.29261
_Cos_42041918737106985    142  -43.91876  -88.36205  132.82552    1.26403
_Cos_42041918737107393    144  -41.92354  -95.51833  132.84761    1.27039
_Star_3075643879010918656    145  -31.69139  -99.70275  132.86050    1.30227
_Sky_2879729404    146  -41.99714 -104.43748  132.87508    1.27038
_Cos_42041781298157335    147  -35.09998 -107.17771  132.88351    1.29184
_Cos_42041781298156393    148  -41.16454 -113.46813  132.90283    1.27318
_Cos_42041781298157543    149  -33.89728 -119.11885  132.92016    1.29585
_Cos_42041781298156355    150  -41.70567 -121.12844  132.92629    1.27170
_Cos_42041781298157516    151  -34.21182 -123.69955  132.93417    1.29498
_Cos_42041781298156372    152  -41.45690 -128.46686  132.94871    1.27267
_Cos_42041781298157767    153  -32.40392 -130.49229  132.95492    1.30074
_Star_3075644089464291712    154  -40.28444 -137.65348  132.97669    1.27655
_Cos_42041781298155792    214  -45.33934 -136.77566  132.97399    1.26090
_Cos_42041781298157620    155  -33.34041 -141.43548  132.98821    1.29812
_Cos_42041781298137550    156  -42.27473 -143.97935  132.99588    1.27058
_Cos_42041781298138306    157  -35.37734 -147.97383  133.00802    1.29199
_Sky_2879732507    158  -41.71629 -152.38127  133.02130    1.27256
_Cos_42041781298157726    159  -32.89574 -155.55543  133.03093    1.29986
_Star_3075596982263139328    160  -43.38394 -161.86038  133.04983    1.26772
_Sky_2879705817    161  -34.36596 -164.37666  133.05746    1.29557
_Cos_42041643859202843    162  -42.27852 -169.01289  133.07129    1.27136
_Cos_42041643859203995    163  -33.31932 -170.06453  133.07451    1.29895
_Sky_2879734443    164  -42.09021 -175.87416  133.09178    1.27217
_Sky_2879692556    165  -34.77939 -180.10989  133.10446    1.29476
_Cos_42041643859202828    166  -42.37894 -183.76399  133.11523    1.27156
_Cos_42041643859204070    167  -34.02049 -189.97199  133.13370    1.29740
_Star_3075596432507320448    168  -43.95916 -193.45374  133.14385    1.26708
_Cos_42041643859204011    169  -33.79747 -196.48367  133.15290    1.29829
_Star_3075599348789968256    170  -43.16658 -203.09372  133.17216    1.26987
_Cos_42041643859203852    171  -35.55877 -204.88689  133.17752    1.29318
